Rank,College Name,Location,Median SAT,Median ACT,Est. price 2019-20 without aid,Est. price 2019-20 with avg. grant,% of students who get any grants,Average student debt,Early career earnings
573,Chatham University,Pittsburgh. PA, NA,NA,53.2,27.2,0.76,19.45,41.4
575,Springfield College,Springfield. MA,1120,27,55.1,30.4,0.96,25,43.1
576,Emmanuel College,Boston. MA,1170,27,59.3,33.6,0.92,27,48.6
577,Nebraska Wesleyan University,Lincoln. NE,1170,25,48.6,26,0.88,24.49,45
578,Converse College,Spartanburg. SC,1070,23,35.7,20.5,0.81,26.54,38
578,Unity College,Unity. ME, NA,NA,42.4,27,0.95,27,38.2
580,Walla Walla University,College Place. WA, NA,NA,39.2,25.6,0.89,27,52.5
581,Western Carolina University,Cullowhee. NC,1110,22,22.4,15.4,0.68,22.5,44
582,Olivet Nazarene University,Bourbonnais. IL,1130,23,48.6,22.5,0.93,25,48.1
583,Goucher College,Baltimore. MD, NA,NA,62.5,31.7,0.96,26,48.5
584,Shippensburg University of Pennsylvania,Shippensburg. PA,1050,20,29.5,20.8,0.58,25.25,48
585,Lewis & Clark College,Portland. OR,1300,29,64.8,38.3,0.87,24.14,47.4
585,Transylvania University,Lexington. KY, NA,NA,52.8,28.2,0.98,27,47
587,Geneva College,Beaver Falls. PA,1100,23,39.7,21.4,0.93,24.85,46.4
588,University of Michigan-Dearborn,Dearborn. MI,1180,25,39.1,10.3,0.66,24.75,54.4
589,Benedictine College,Atchison. KS, NA,25,45.6,26.4,0.86,27,47.4
589,Southern New Hampshire University,Manchester. NH, NA,NA,52.7,42.3,0.5,18.35,47.4
591,Cornell College,Mount Vernon. IA,1220,26,58.4,28.8,0.99,27,48.9
592,University of Puget Sound,Tacoma. WA, NA,NA,66.3,42.8,0.99,26.7,52.9
593,Missouri State University-Springfield,Springfield. MO,1130,24,22,16.2,0.52,22.42,44.4
594,Ouachita Baptist University,Arkadelphia. AR,1140,25,39.3,19.1,0.97,21.5,42.7
595,Concordia University-Irvine,Irvine. CA,1110,23,52.4,26.8,0.81,22.25,48.7
596,Rhode Island School of Design,Providence. RI,1250,28,70.6,42.5,0.38,27,53.3
597,Bethel University,Saint Paul. MN,1200,24,52.6,30.6,0.88,23.45,50.1
598,SUNY Buffalo State,Buffalo. NY,980,NA,26.3,13.4,0.72,20.5,41.7
599,Drew University,Madison. NJ, NA,NA,69.4,30.8,0.88,26.67,51
600,Howard University,Washington. DC,1190,25,45.1,22.5,0.69,26,54.4
601,Art Center College of Design,Pasadena. CA, NA,NA,69,48.7,0.63,31.62,62.8
602,Northwestern College,Orange City. IA,1120,24,45.6,24.9,0.99,24.25,42.9
603,Hendrix College,Conway. AR,1260,28,62.8,23.6,1,27,46
604,Agnes Scott College,Decatur. GA, NA,NA,56.5,23.6,1,27,44.7
605,Virginia Commonwealth University,Richmond. VA,1170,24,32.6,22.1,0.56,23.25,48.9
606,University of Louisville,Louisville. KY,1180,25,27.6,18.2,0.79,19.76,48.8
607,Saint Joseph's College of Maine,Standish. ME, NA,NA,53,27.4,0.7,27,46.3
608,Massachusetts College of Liberal Arts,North Adams. MA,1080,23,25.7,17.7,0.76,23.37,43.6
609,Hofstra University,Hempstead. NY,1220,27,64,34.8,0.86,23.5,55
610,California University of Pennsylvania,California. PA,1010,20,27.5,19,0.63,24.22,43.5
611,University of Mount Olive,Mount Olive. NC,970,20,32.6,16.6,0.82,29.15,40.5
611,Xavier University of Louisiana,New Orleans. LA,1070,23,38.1,18.2,0.94,25.01,43.8
613,Nazareth College,Rochester. NY, NA,NA,51.7,31.2,0.96,26.58,41.6
614,Wartburg College,Waverly. IA,1060,24,54.2,24.5,0.96,27,48.6
615,The University of Montana-Western,Dillon. MT,1060,19,19.2,12.1,0.62,22.58,35.5
616,Baldwin Wallace University,Berea. OH, NA,NA,48.1,25.6,0.86,27,45.9
617,Chestnut Hill College,Philadelphia. PA,1060,22,54.6,25.5,0.87,26.44,41.8
618,Hanover College,Hanover. IN,1170,25,52.7,24,1,27,46.1
619,Roger Williams University,Bristol. RI, NA,NA,55,39.3,0.83,26,52.3
620,The University of Alabama,Tuscaloosa. AL,1170,28,30.7,21.3,0.57,23.29,51.2
621,Hampden-Sydney College,Hampden-Sydney. VA,1160,24,63,34.6,0.99,27,55.8
622,Central Michigan University,Mount Pleasant. MI,1110,24,25.1,15.7,0.64,27,47
623,Nyack College,Nyack. NY,990,20,42.2,22.5,0.94,25,45.7
624,Southeast Missouri State University,Cape Girardeau. MO, NA,23,21.9,13,0.78,22.19,42.9
625,Xavier University,Cincinnati. OH,1150,25,54.7,32.2,0.94,27,50.7
626,Georgia College & State University,Milledgeville. GA,1180,25,29.4,21.4,0.78,22,44.6
627,Northwood University,Midland. MI,1080,23,42.2,25.9,0.7,20.8,47
628,Mount Saint Joseph University,Cincinnati. OH,1070,22,42.4,19.9,0.81,28,44.1
629,Alma College,Alma. MI,1130,24,54.8,23.6,0.96,27,47.2
630,College of Saint Elizabeth,Morristown. NJ,890,NA,54.4,21.2,0.7,25,49.1
631,The University of Tennessee-Martin,Martin. TN, NA,23,21.1,11.8,0.87,23.76,44.1
632,Roanoke College,Salem. VA,1140,25,62,31.6,1,27,47.4
633,University of Mount Union,Alliance. OH,1090,23,44.6,24.6,0.96,27.44,47.2
634,Tougaloo College,Tougaloo. MS,1030,20,23.9,10.5,0.98,35.5,37
635,Mount Vernon Nazarene University,Mount Vernon. OH,1050,22,43,22.3,0.84,25.91,42.8
636,SUNY College of Technology at Delhi,Delhi. NY, NA,NA,25.3,15.7,0.66,15.25,43.6
637,Castleton University,Castleton. VT,1030,20,25.8,17.6,0.67,25,41.3
638,Catholic University of America,Washington. DC, NA,NA,65.3,37.6,0.7,26.86,55.7
639,Asbury University,Wilmore. KY,1130,25,42.4,24,0.95,25,39
640,Depaul University,Chicago. IL, NA,NA,58.8,35.1,0.81,23.26,53.8
641,Webster University,Saint Louis. MO,1150,24,47,25.4,0.75,23.23,45.1
642,Western Michigan University,Kalamazoo. MI,1080,23,26.3,16.2,0.57,26.36,49.8
643,Pennsylvania College of Technology,Williamsport. PA, NA,NA,33.6,22.4,0.66,22.44,51.1
644,SUNY College at Potsdam,Potsdam. NY, NA,NA,25.2,14.7,0.8,25.5,42.4
645,Bennington College,Bennington. VT, NA,NA,73.9,34.9,0.9,25.2,46.3
646,Shenandoah University,Winchester. VA,1110,23,48.3,31.2,0.99,25,48.2
647,Tuskegee University,Tuskegee. AL,960,21,41.1,32.9,0.25,32.5,54.5
648,University of Cincinnati,Cincinnati. OH,1230,26,29.4,22.5,0.6,22.5,52.5
649,Hannibal-LaGrange University,Hannibal. MO, NA,NA,37.6,20.1,0.68,19.05,37.3
650,Earlham College,Richmond. IN,1300,28,61.3,22.1,0.94,27,48.4
651,Florida Agricultural and Mechanical University,Tallahassee. FL,1070,20,23.9,14.4,0.75,28,47.5
652,SUNY College of Agriculture and Technology at Cobleskill,Cobleskill. NY,970,20,25.9,16.1,0.75,17.25,39.9
653,Kutztown University of Pennsylvania,Kutztown. PA,1060,21,28.2,21.6,0.6,26,44
654,Georgian Court University,Lakewood. NJ,1020,20,53.3,26.8,0.82,23.5,43.2
655,Mount St. Mary's University,Emmitsburg. MD,1090,22,58.6,30.6,0.94,26.77,47.7
656,North Carolina A & T State University,Greensboro. NC,1010,20,18.7,11.8,0.77,28.27,51.8
657,College of Charleston,Charleston. SC,1150,25,31,21.1,0.56,21.5,46
658,American International College,Springfield. MA,1000,20,53.1,21.1,0.94,27,51.2
659,Southern Connecticut State University,New Haven. CT,1030,21,27,16.3,0.53,23,48.2
660,Millsaps College,Jackson. MS,1220,25,57.8,25,0.98,27,49.1
661,Millersville University of Pennsylvania,Millersville. PA,1070,NA,30.2,21.1,0.54,24.64,46.6
662,William Woods University,Fulton. MO,1110,23,40.6,23,0.84,20.55,40.2
663,Otterbein University,Westerville. OH,1170,24,48.5,26,0.88,27,47.3
664,Georgia State University,Atlanta. GA,1130,23,27.2,16.4,0.71,22.21,49.4
665,Reed College,Portland. OR,1410,32,72.9,34.3,0.51,16,53.9
666,Pratt Institute-Main,Brooklyn. NY,1170,27,68.2,46,0.76,26,52.1
667,University of Alabama at Birmingham,Birmingham. AL,1180,25,27.3,18.2,0.61,21.83,47.8
668,Alverno College,Milwaukee. WI, NA,NA,42.2,19.2,0.92,31,45.1
669,Hampton University,Hampton. VA,1050,22,42.4,27.8,0.73,27,51.7
670,The New School,New York. NY,1210,26,72.6,48.7,0.86,24.53,52.1
671,University of the Incarnate Word,San Antonio. TX,1030,20,48.8,23.4,0.75,27.25,45.7
672,Arcadia University,Glenside. PA,1150,25,61.2,29.4,0.92,27,43.8
673,Keiser University-Ft Lauderdale,Fort Lauderdale. FL, NA,NA,42,28.5,0.84,25.7,44
673,Birmingham Southern College,Birmingham. AL,1150,26,54.7,25.5,0.99,26.05,47.9
675,Spring Arbor University,Spring Arbor. MI,1100,24,41.7,20.2,0.82,24.05,40.4
676,California College of the Arts,San Francisco. CA, NA,NA,68,40.8,0.73,27,56.6
677,University of Montana,Missoula. MT,1170,24,21.4,14.6,0.59,22.98,45.3
678,Gordon College,Wenham. MA,1170,26,52.2,33,0.98,27,47.8
679,Rollins College,Winter Park. FL, NA,NA,70.8,37.9,0.85,25.25,46.9
680,Toccoa Falls College,Toccoa Falls. GA,1040,21,37.8,21.8,0.6,24.61,38.2
681,Eastern Kentucky University,Richmond. KY,1050,23,24.1,13.5,0.8,23.13,44.8
682,Doane University-Arts & Sciences,Crete. NE, NA,23,48.8,26.1,0.99,23.86,47.1
683,University of Bridgeport,Bridgeport. CT,960,21,56.9,24.5,0.81,27,48.3
684,School of the Art Institute of Chicago,Chicago. IL,1230,26,70.3,48.8,0.89,26.98,45.7
685,Mercer University,Macon. GA,1260,28,53.6,22.7,0.91,25.5,48.3
686,Lock Haven University,Lock Haven. PA,1010,19,27.7,18.4,0.63,27,41
686,Oklahoma City University,Oklahoma City. OK,1200,26,47.4,29.1,0.87,21.8,46.2
688,Winthrop University,Rock Hill. SC,1090,22,29.4,18.1,0.8,27,43.2
689,Barton College,Wilson. NC,1050,21,47.5,25.1,0.97,26,42.4
690,Brenau University,Gainesville. GA,990,20,46.9,22.4,0.78,27,43.1
691,California Baptist University,Riverside. CA,1090,22,48,27.4,0.83,27,45.9
692,Morehouse College,Atlanta. GA,1060,21,50.9,32.6,0.76,26,54.8
693,Johnson & Wales University-Providence,Providence. RI, NA,NA,51.4,29,0.91,25.9,46.4
693,Hilbert College,Hamburg. NY, NA,NA,34.8,19,0.93,25.41,39.2
695,Indiana University of Pennsylvania,Indiana. PA,1020,20,28.5,20.5,0.67,27,45.9
696,Ringling College of Art and Design,Sarasota. FL, NA,NA,68.4,53.2,0.88,27,47.3
697,Western Kentucky University,Bowling Green. KY,1080,23,22.5,12.6,0.68,23.2,44.7
698,Husson University,Bangor. ME,1040,23,31.6,20.7,0.84,24.73,42.9
699,Maryland Institute College of Art,Baltimore. MD,1180,27,65.6,44.2,0.98,27,47.7
700,Upper Iowa University,Fayette. IA,950,21,46.2,25.1,0.61,23,43.9
701,Bowling Green State University,Bowling Green. OH,1110,22,25.7,19.1,0.69,26,46.1
702,Virginia State University,Petersburg. VA,920,17,23.6,17.3,0.92,29.75,44
703,Randolph-Macon College,Ashland. VA,1140,24,56.6,28.4,0.99,27,45.1
704,Berry College,Mount Berry. GA,1210,27,52.9,27.9,0.99,24.09,43.4
705,Florida Southern College,Lakeland. FL,1160,27,52.1,26.6,0.93,24.88,44.6
706,Saint Leo University,Saint Leo. FL,1020,23,40.2,21.9,0.73,24.75,44.9
707,Clarion University of Pennsylvania,Clarion. PA,1020,21,28.6,19.7,0.68,26.25,43.2
708,North Carolina Central University,Durham. NC,970,19,23.2,13.5,0.78,31,43.3
709,Hollins University,Roanoke. VA,1200,26,56.6,20.8,0.99,27,40.9
710,University of Montevallo,Montevallo. AL,1050,23,26.8,17.2,0.8,24.26,38.3
711,Westminster College - Missouri,Fulton. MO,1100,24,42.3,21.5,0.97,26,47.7
712,Stetson UniversityDe,Land. FL, NA,NA,64.1,29.1,0.99,27,46
713,Claflin University,Orangeburg. SC,960,19,34.1,19.3,0.95,33,36
714,Belhaven University,Jackson. MS, NA,NA,35.9,19,0.83,27,41.4
715,Paul Smiths College of Arts and Science,Paul Smiths. NY, NA,NA,46.5,28.5,0.97,21.5,36
716,Mansfield University of Pennsylvania,Mansfield. PA,1040,20,30,21,0.72,27,42.8
717,Mercy College,Dobbs Ferry. NY, NA,NA,38.9,17.3,0.63,23.69,46
718,Belmont University,Nashville. TN,1230,27,53,37.8,0.7,21.25,46
719,Eckerd College,Saint Petersburg. FL,1160,26,61.8,36.2,0.95,26.55,47.3
720,Milwaukee Institute of Art & Design,Milwaukee. WI, NA,NA,50,26.5,1,27,43.2
721,Berklee College of Music,Boston. MA, NA,NA,66.4,44.2,0.57,23.5,46.5
722,Eastern University,Saint Davids. PA,1100,23,50.4,25.3,0.91,26.5,43.7
723,California Institute of the Arts,Valencia. CA, NA,NA,72.1,54.7,0.76,27,53.2
724,Hiram College,Hiram. OH,1070,21,49.9,23.9,0.79,27,44.8
725,Coker University,Hartsville. SC,1010,19,42,17.6,0.86,27,37
726,Olivet College,Olivet. MI, NA,NA,41.7,21.7,0.95,27,44.5
727,Meredith College,Raleigh. NC,1100,23,51.5,27,0.96,26,42.5
728,Mercyhurst University,Erie. PA, NA,NA,54.1,21.1,0.96,26.85,44.1
729,Ohio University,Athens. OH,1170,24,28.5,23.1,0.58,20.07,50.2
730,Dillard University,New Orleans. LA,910,20,35.4,18.4,0.93,36,43.4
731,Lincoln University,Lincoln University. PA,970,19,28.6,19.5,0.89,31,47.2
732,Kent State University at Kent,Kent. OH,1130,23,26.6,19.4,0.67,25.25,44.6
733,University of the District of Columbia,Washington. DC, NA,NA,36.1,17.9,0.55,23.5,51.3
734,Marywood University,Scranton. PA,1020,23,52.6,26.8,0.9,27,41.8
735,High Point University,High Point. NC,1150,24,53.4,41.7,0.74,25,47.1
736,Clark Atlanta University,Atlanta. GA,990,20,39,28.6,0.83,31,45.8
737,New England College,Henniker. NH, NA,NA,56.2,29.3,0.79,26,43.9
738,Savannah College of Art and Design,Savannah. GA,1130,24,58.9,44.6,0.91,26.37,45.5
739,Johnson C Smith University,Charlotte. NC,850,17,33.6,19.3,0.94,32.5,45.1
740,Glenville State College,Glenville. WV, NA,NA,24.2,13.4,0.8,23.91,38.2
741,Davenport University,Grand Rapids. MI, NA,NA,32,17.9,0.79,26.91,45.1
742,Oakwood University,Huntsville. AL,1000,20,37.3,27.3,0.9,31,42.3
743,Regent University,Virginia Beach. VA,1060,23,30.5,19,0.87,25,40.6
744,The University of the Arts,Philadelphia. PA, NA,NA,68.2,42,0.97,27,46.2
